,TaxoName,Diets
383,TAG56:7-FA18:2,"['AAndBS', 'BS']"
384,TAG56:7-FA18:3,"['AAndBS', 'BS']"
385,TAG56:7-FA20:3,"['AAndBS', 'BS']"
386,TAG56:7-FA20:4,['AAndBS']
387,TAG56:7-FA20:5,"['AAndBS', 'BS']"
388,TAG56:7-FA22:5,"['AAndBS', 'BS']"
389,TAG56:7-FA22:6,['AAndBS']
390,TAG56:8-FA18:2,"['AAndBS', 'BS']"
391,TAG56:8-FA20:4,['AAndBS']
392,TAG56:8-FA22:5,"['AAndBS', 'BS']"
393,TAG56:8-FA22:6,"['AAndBS', 'BS']"
394,TAG56:9-FA18:3,"['AAndBS', 'BS']"
395,TAG56:9-FA20:4,"['AAndBS', 'BS']"
396,TAG56:9-FA22:6,"['AAndBS', 'BS']"
397,TAG57:2-FA18:1,['AAndBS']
398,TAG57:3-FA18:2,"['AAndBS', 'BS']"
399,TAG57:8-FA22:6,"['AAndBS', 'BS']"
400,TAG58:10-FA18:2,"['AAndBS', 'BS']"
401,TAG58:10-FA20:4,['AAndBS']
402,TAG58:10-FA22:5,"['AAndBS', 'BS']"
403,TAG58:10-FA22:6,"['AAndBS', 'BS']"
404,TAG58:6-FA16:0,"['AAndBS', 'BS']"
405,TAG58:6-FA20:4,"['AAndBS', 'BS']"
406,TAG58:6-FA22:4,['AAndBS']
407,TAG58:6-FA22:5,"['AAndBS', 'BS']"
408,TAG58:7-FA16:0,"['AAndBS', 'BS']"
409,TAG58:7-FA18:0,"['AAndBS', 'BS']"
410,TAG58:7-FA20:4,"['AAndBS', 'BS']"
411,TAG58:7-FA22:4,"['AAndBS', 'BS']"
412,TAG58:7-FA22:5,"['AAndBS', 'BS']"
413,TAG58:7-FA22:6,"['AAndBS', 'BS']"
414,TAG58:8-FA18:1,['AAndBS']
415,TAG58:8-FA20:4,"['AAndBS', 'BS']"
416,TAG58:8-FA22:5,"['AAndBS', 'BS']"
417,TAG58:8-FA22:6,"['AAndBS', 'BS']"
418,TAG58:9-FA18:1,['AAndBS']
419,TAG58:9-FA20:4,['AAndBS']
420,TAG58:9-FA22:5,"['AAndBS', 'BS']"
421,TAG58:9-FA22:6,"['AAndBS', 'BS']"
422,TAG60:10-FA22:5,['AAndBS']
423,TAG60:10-FA22:6,"['AAndBS', 'BS']"
424,TAG60:12-FA22:6,"['AAndBS', 'BS']"
425,CE(20:1),['BS']
426,CE(22:0),['BS']
427,CE(24:1),['BS']
428,CER(26:1),['BS']
429,DAG(14:0/20:0),['BS']
430,DAG(14:0/22:6),['BS']
431,DAG(16:0/20:3),['BS']
432,DAG(18:0/18:1),['BS']
433,DAG(18:0/18:2),['BS']
434,DAG(18:1/20:1),['BS']
435,DAG(18:2/20:3),['BS']
436,DAG(18:2/20:4),['BS']
437,DCER(24:1),['BS']
438,FFA(22:2),['BS']
439,PE(16:0/18:2),['BS']
440,PE(O-16:0/18:1),['BS']
441,PE(P-18:0/16:0),['BS']
442,PI(16:0/18:2),['BS']
443,TAG46:3-FA16:0,['BS']
444,TAG48:3-FA18:3,['BS']
445,TAG48:5-FA18:2,['BS']
446,TAG50:3-FA16:0,['BS']
447,TAG50:3-FA18:3,['BS']
448,TAG50:3-FA20:3,['BS']
449,TAG50:4-FA20:3,['BS']
450,TAG50:4-FA20:4,['BS']
451,TAG50:5-FA20:4,['BS']
452,TAG50:6-FA20:4,['BS']
453,TAG52:5-FA18:2,['BS']
454,TAG52:5-FA20:3,['BS']
455,TAG53:3-FA18:2,['BS']
456,TAG53:7-FA18:3,['BS']
457,TAG54:3-FA20:1,['BS']
458,TAG55:2-FA18:2,['BS']
459,TAG58:7-FA18:2,['BS']
