# Gene Family	3003B	3004B	3005B	3007B	3008B	3009B	3012B	3013B	3014B	3016B	3020B	3021B	3022B	3023B	3025B	3026B	3027B	3028B	3029B	3030B	3031B	3032B	3033B	3036B	3037B	3039B	3042B	3043B	3044B	3046B	3047B	3048B	3049B
1.1.1.38	221.982	610.287	310.202	9.653	220.362	0	65.696	168.548	571.626	96.384	97.211	107.282	180.169	23.468	0	183.923	256.566	218.484	111.494	32.184	64.832	19.133	54.61	137.374	8.705	122.532	63.97	133.678	10.809	0	15.265	334.983	2556.976
1.1.1.381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.391	138.607	7.82	24.997	9.157	29.143	0	0	0	0	0	0	33.319	6.105	0	4.093	0	0	0	85.012	0	0	0	30.691	0	0	33.539	0	16.502	15.27	0	0	0	12.43
1.1.1.392	0	0	0	0	0	0	0	0	8.259	0	0	43.087	0	0	0	0	16.406	0	0	0	0	0	0	0	0	0	0	0	0	0	72.896	0	0
1.1.1.393	7.323	11.522	4.545	0	9.014	0	0	0	0	0	0	29.723	0	5.786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.079	0	14.822
1.1.1.395	32.718	0	22.762	0	19.708	0	0	6.404	0	0	0	0	0	0	0	0	0	6.608	21.364	0	0	0	0	0	0	0	31.099	19.378	7.161	8.538	26.313	0	0
1.1.1.399	0	10.988	0	0	0	0	0	19.661	1.871	2.818	49.376	0	0	57.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.551	222.569
1.1.1.4	49.198	104.775	6.608	0	9.873	0	0	23.172	12.16	0	0	0	0	0	0	0	38.042	45.628	6.589	0	41.097	10.568	14.702	14.709	0	0	18.033	62.875	41.628	0	85.803	47.155	26.883
1.1.1.40	1325.672	2456.757	997.067	1462.097	673.935	76.784	1021.705	532.363	1951.03	1204.947	987.661	1767.637	2018.011	1580.662	413.939	884.739	891.774	2205.256	642.25	992.181	2241.364	675.765	861.56	848.406	92.076	1114.759	2393.418	2026.791	885.273	1736.401	673.746	1469.626	3972.892
1.1.1.405	170.206	225.908	789.559	0	226.082	14.676	51.606	41.284	584.841	417.225	94.513	151.502	240.108	0	29.622	280.881	549.012	286.772	122.72	319.083	68.984	309.235	705.899	1279.53	26.527	661.602	429.176	418.791	193.48	0	160.538	345.63	151.867
